Product Name,url,Image 1 URL,Image 2 URL,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,Categoria,color_homogeneizado,style_tags
Sudadera capucha Rick y Morty,https://www.pullandbear.com/es/sudadera-capucha-rick-y-morty-l03594905?cS=802&pelement=662014396,https://static.pullandbear.net/assets/public/8a8b/92f8/a641499399d4/29b8b328c5e5/03594905802-a20m/03594905802-a20m.jpg?ts=1733135393897&w=438&f=auto,https://static.pullandbear.net/assets/public/db10/6434/d3524145ae11/2be1fa38ec49/03594905802-M/03594905802-M.jpg?ts=1733838580074&w=438&f=auto,"Sudadera con capucha licencia Rick y Morty con gráfico de Morty Smith y en la espalda, bolsillo canguro y de manga larga.",,,,29.99,Gris,https://static.pullandbear.net/assets/public/50f3/96f2/9dfc4396a3fa/9eb5abeddfc0/03594905802-C/03594905802-C.jpg?ts=1733135381633&w=106&f=auto,3594/905,3594905.0,1030139501.0,In Stock,Sudadera,Gris,Otro
Sudadera Fleurs de Jardin,https://www.pullandbear.com/es/sudadera-fleurs-de-jardin-l07590928?cS=982&pelement=662014209,https://static.pullandbear.net/assets/public/150f/891a/812a4ac6837c/55cdaed44632/07590928982-A20M/07590928982-A20M.jpg?ts=1733136946747&w=438&f=auto,https://static.pullandbear.net/assets/public/4f8b/0e16/a0504476be36/78ae5e656334/07590928982-M/07590928982-M.jpg?ts=1733158069492&w=438&f=auto,"Sudadera de manga larga con gráfico &#39;Fleurs de Jardin&#39;, con capucha, bolsillo delantero tipo canguro y confeccionada en algodón.",,,,29.99,Verde agua,https://static.pullandbear.net/assets/public/5c06/3678/315f4644ba48/2830e9129143/07590928982-C/07590928982-C.jpg?ts=1733136940318&w=106&f=auto,7590/928,7590928.0,1030139501.0,In Stock,Sudadera,Verde,Otro
Sudadera Arcane Violet,https://www.pullandbear.com/es/sudadera-arcane-violet-l07591908?cS=711&pelement=662027480,https://static.pullandbear.net/assets/public/1f2e/cd8a/157d4fba9301/6220173fbb18/07591908711-A7M/07591908711-A7M.jpg?ts=1736863670295&w=438&f=auto,https://static.pullandbear.net/assets/public/6d26/3daf/366c41eba6d9/586ecba61b6e/07591908711-M/07591908711-M.jpg?ts=1736781082264&w=438&f=auto,"Sudadera licencia Arcane con gráfico de Violet y texto en contraste, con capucha, bolsillo tipo canguro y confeccionada en algodón.",,,,29.99,Arena,https://static.pullandbear.net/assets/public/49db/75e1/09114bb4b59b/fecde73b22f3/07591908711-C/07591908711-C.jpg?ts=1735902366286&w=106&f=auto,7591/908,7591908.0,1030139501.0,In Stock,Sudadera,Marrón,Otro
Sudadera Arcane Jinx,https://www.pullandbear.com/es/sudadera-arcane-jinx-l07591907?cS=700&pelement=662027490,https://static.pullandbear.net/assets/public/49da/2138/3dcd4673a64b/d5394a9504c5/07591907700-A7M/07591907700-A7M.jpg?ts=1736865911201&w=438&f=auto,https://static.pullandbear.net/assets/public/2154/0f46/c11d4f0c8bae/16325cd36a3b/07591907700-M/07591907700-M.jpg?ts=1736780710912&w=438&f=auto,"Sudadera licencia Arcane con gráfico de Jinx y texto en contraste, con capucha, bolsillo tipo canguro y confeccionada en algodón.",,,,29.99,Marrón,https://static.pullandbear.net/assets/public/d873/2b7a/dd7f46a7a2fc/a2fa0d04f3e8/07591907700-C/07591907700-C.jpg?ts=1735902112387&w=106&f=auto,7591/907,7591907.0,1030139501.0,In Stock,Sudadera,Marrón,Otro
Sudadera boxy con capucha,https://www.pullandbear.com/es/sudadera-boxy-con-capucha-l07594510?cS=716&pelement=663541821,https://static.pullandbear.net/assets/public/f883/594b/8eb843f99985/d55410ebeaaf/07590510716-A6M/07590510716-A6M.jpg?ts=1724065832006&w=438&f=auto,https://static.pullandbear.net/assets/public/bb82/99a3/1d9045979141/2f213ccc8ae2/07590510716-M/07590510716-M.jpg?ts=1724660997226&w=438&f=auto,"Sudadera boxy de manga larga, con capucha, bolsillo delantero tipo canguro y confeccionada en algodón.",,,,25.99,Marrón oscuro,https://static.pullandbear.net/assets/public/eb04/db91/190d49c6b255/89ffcdf3039e/07590510716-C/07590510716-C.jpg?ts=1724065847811&w=106&f=auto,7594/510,7594510.0,1030204822.0,In Stock,Sudadera,Marrón,Otro
Sudadera básica capucha,https://www.pullandbear.com/es/sudadera-basica-capucha-l07594513?cS=401&pelement=662014571,https://static.pullandbear.net/assets/public/4184/2ad3/0352487db245/406cce9da66e/07591513401-A6M/07591513401-A6M.jpg?ts=1722601377061&w=438&f=auto,https://static.pullandbear.net/assets/public/abb3/3507/f672446abeba/a8e7726804b9/07591513401-M/07591513401-M.jpg?ts=1723546809752&w=438&f=auto,"Sudadera básica oversize con capucha con cordón, bolsillo canguro y de manga larga.",,,,22.99,Marino,https://static.pullandbear.net/assets/public/2bd3/0408/c4d34c1f956a/1767a3a6cb0b/07591513401-C/07591513401-C.jpg?ts=1722601368114&w=106&f=auto,7594/513,7594513.0,1030204822.0,In Stock,Sudadera,Azul,Básica
Sudadera capucha STWD,https://www.pullandbear.com/es/sudadera-capucha-stwd-l07590502?cS=807&pelement=662020661,https://static.pullandbear.net/assets/public/5a55/c7a3/957d418b8a13/afafb3a83746/07592517807-A20M/07592517807-A20M.jpg?ts=1728478902891&w=438&f=auto,https://static.pullandbear.net/assets/public/b8f7/a53d/0c2142a783b3/0b955cd11597/07592558807-M/07592558807-M.jpg?ts=1737127082963&w=438&f=auto,Sudadera con capucha y bolsillo tipo canguro con detalle de logo STWD.,,,,29.99,Gris antracita,https://static.pullandbear.net/assets/public/cafa/3075/cf994288a1d0/4420e9e54b9b/07592517807-C/07592517807-C.jpg?ts=1728478908447&w=106&f=auto,7590/502,7590502.0,1030204822.0,In Stock,Sudadera,Gris,Logo
Sudadera capucha Scarface,https://www.pullandbear.com/es/sudadera-capucha-scarface-l03594525?cS=779&pelement=662020764,https://static.pullandbear.net/assets/public/4237/c3c9/0b1447ca919c/b17c6d8279f5/03594525779-A7M/03594525779-A7M.jpg?ts=1732011836281&w=438&f=auto,https://static.pullandbear.net/assets/public/69ba/e448/4cd94641ab32/2bb99f169474/03594525779-M/03594525779-M.jpg?ts=1731938610807&w=438&f=auto,Sudadera con capucha licencia Scarface con print en la espalda y de manga larga.,,,,29.99,Hueso,,3594/525,3594525.0,1030139501.0,In Stock,Sudadera,Blanco,Otro
Sudadera capucha tenis,https://www.pullandbear.com/es/sudadera-capucha-tenis-l07590520?cS=806&pelement=662026806,https://static.pullandbear.net/assets/public/412b/abf3/36654f0589e1/e762c423be63/07590520806-a20m/07590520806-a20m.jpg?ts=1732621782942&w=438&f=auto,https://static.pullandbear.net/assets/public/315a/bd08/650645c8ad11/b6ea7263ebda/07590520806-M/07590520806-M.jpg?ts=1733762687069&w=438&f=auto,"Sudadera con gráfico Tennis Club, de manga larga, con capucha, bolsillo tipo canguro y confeccionada en algodón.",,,,27.99,Piedra,https://static.pullandbear.net/assets/public/2d6e/4e34/6db64dd2a384/b26011134b39/07590520806-C/07590520806-C.jpg?ts=1732621779501&w=106&f=auto,7590/520,7590520.0,1030204822.0,In Stock,Sudadera,Marrón claro,Otro
Sudadera capucha mangas contraste,https://www.pullandbear.com/es/sudadera-capucha-mangas-contraste-l07591510?cS=711&pelement=662021007,https://static.pullandbear.net/assets/public/acc1/5708/4f934e37a502/065b23d7f0ae/07591510711-A6M/07591510711-A6M.jpg?ts=1737127081277&w=438&f=auto,https://static.pullandbear.net/assets/public/e58c/6a56/4f7c4bd38a87/c73dd086792a/07591510711-M/07591510711-M.jpg?ts=1737127081732&w=438&f=auto,"Sudadera con capucha y gráfico de árbol, bolsillo canguro y manga larga en contraste.",,,,27.99,Arena,https://static.pullandbear.net/assets/public/1cde/a465/3c08464eb52f/ac34c9932128/07591510711-C/07591510711-C.jpg?ts=1731075195174&w=106&f=auto,7591/510,7591510.0,1030204822.0,In Stock,Sudadera,Marrón,Otro
