product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria
Camiseta STWD escalera flúor,https://www.pullandbear.com/es/camiseta-stwd-escalera-fluor-l07249524?cS=250&pelement=621942639,https://static.pullandbear.net/assets/public/69c0/3371/c8d7477d9eb2/7542fb91dcd6/07249524250-A1M/07249524250-A1M.jpg?ts=1719572891500&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7249/524/250/7249524250_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1719573167684&w=438&f=auto,3.99,"Camiseta STWD de manga corta con gráfico de escalera flúor, texto &#39;Universal future&#39;, cuello redondo y en 100% algodón.",3.99,5.99,12.99,3.99,Blanco,https://static.pullandbear.net/assets/public/d4a1/c252/1f9844b4a939/b32e67ca684d/07249524250-C/07249524250-C.jpg?ts=1717510248875&w=106&f=auto,7249/524,07249524,1030204790,In stock,,
Camiseta STWD motor,https://www.pullandbear.com/es/camiseta-stwd-motor-l07249569?cS=600&pelement=625910307,https://static.pullandbear.net/assets/public/dc5c/b514/44084010991f/ad2717c6c45a/07249569600-A20M/07249569600-A20M.jpg?ts=1722584591257&w=438&f=auto,https://static.pullandbear.net/assets/public/1431/73ab/eaad49a89bbc/d635547ecbd8/07249569600-M/07249569600-M.jpg?ts=1722598069794&w=438&f=auto,3.99,"Camiseta STWD racing con texto de motor, cuello redondo, de manga corta y en 100% algodón efecto lavado.",3.99,5.99,12.99,3.99,Rojo,https://static.pullandbear.net/assets/public/3723/04b5/f0314d0a8c9f/d9dc25849d07/07249569600-C/07249569600-C.jpg?ts=1722584595198&w=106&f=auto,7249/569,07249569,1030204790,In stock,,
Camiseta STWD motor,https://www.pullandbear.com/es/camiseta-stwd-motor-l07249569?cS=600&pelement=625910307,https://static.pullandbear.net/assets/public/e3de/1528/8ef84ea4afeb/1362487d4125/07249569600-A1M/07249569600-A1M.jpg?ts=1722598079777&w=438&f=auto,https://static.pullandbear.net/assets/public/1431/73ab/eaad49a89bbc/d635547ecbd8/07249569600-M/07249569600-M.jpg?ts=1722598069794&w=438&f=auto,3.99,"Camiseta STWD racing con texto de motor, cuello redondo, de manga corta y en 100% algodón efecto lavado.",3.99,5.99,12.99,3.99,Rojo,https://static.pullandbear.net/assets/public/3723/04b5/f0314d0a8c9f/d9dc25849d07/07249569600-C/07249569600-C.jpg?ts=1722584595198&w=106&f=auto,7249/569,07249569,1030204790,In stock,,
Pack 2 camisetas slim,https://www.pullandbear.com/es/pack-2-camisetas-slim-l07249910?cS=064&pelement=621963137,https://static.pullandbear.net/assets/public/06ff/9f94/552b40f3bdd2/9ffd16b03b0d/07249910064-A6M/07249910064-A6M.jpg?ts=1724771350646&w=438&f=auto,https://static.pullandbear.net/assets/public/0804/4be6/6bc946e1a6af/7ae5d6d75972/07249910064-M/07249910064-M.jpg?ts=1725278018286&w=438&f=auto,3.99,"Pack de 2 camisetas básicas slim fit de manga corta y cuello redondo, confeccionadas en tejido elástico.",3.99,7.99,16.99,3.99,Blanco/Negro,https://static.pullandbear.net/assets/public/e256/74dc/cda746f19f5a/e35488fab0dc/07249910064-C/07249910064-C.jpg?ts=1724771392030&w=106&f=auto,7249/910,07249910,1030204790,In stock,,
Pack 2 camisetas slim,https://www.pullandbear.com/es/pack-2-camisetas-slim-l07249910?cS=064&pelement=621963137,https://static.pullandbear.net/assets/public/2bda/8305/1a1545d7b265/08d8f44fc18f/07249910064-A1M/07249910064-A1M.jpg?ts=1725268453092&w=438&f=auto,https://static.pullandbear.net/assets/public/0804/4be6/6bc946e1a6af/7ae5d6d75972/07249910064-M/07249910064-M.jpg?ts=1725278018286&w=438&f=auto,3.99,"Pack de 2 camisetas básicas slim fit de manga corta y cuello redondo, confeccionadas en tejido elástico.",3.99,7.99,16.99,3.99,Blanco/Negro,https://static.pullandbear.net/assets/public/e256/74dc/cda746f19f5a/e35488fab0dc/07249910064-C/07249910064-C.jpg?ts=1724771392030&w=106&f=auto,7249/910,07249910,1030204790,In stock,,
Camiseta boxy P&B Black Label,https://www.pullandbear.com/es/camiseta-boxy-pb-black-label-l07248582?cS=505&pelement=621934509,https://static.pullandbear.net/assets/public/5b21/56d0/f56c4b43abfb/51f12cf45156/07248582505-A6M/07248582505-A6M.jpg?ts=1716557346137&w=438&f=auto,https://static.pullandbear.net/assets/public/ae10/da81/80f44fb096fa/c91ad042060b/07248582505-M/07248582505-M.jpg?ts=1728491588241&w=438&f=auto,3.99,"Camiseta boxy de manga corta, con detalle de bolsillo delantero y confeccionada en algodón.  Colección P&amp;B Black Label",3.99,7.99,15.99,3.99,Caqui,https://static.pullandbear.net/assets/public/92e8/1836/046545769dd6/696985a3734d/07248582505-C/07248582505-C.jpg?ts=1716557345880&w=106&f=auto,7248/582,07248582,1030204790,In stock,,
Camiseta boxy P&B Black Label,https://www.pullandbear.com/es/camiseta-boxy-pb-black-label-l07248582?cS=505&pelement=621934509,https://static.pullandbear.net/assets/public/a6d2/accb/92eb4fc6a8a1/40013ddb6f1d/07248582505-A1M/07248582505-A1M.jpg?ts=1728491574877&w=438&f=auto,https://static.pullandbear.net/assets/public/ae10/da81/80f44fb096fa/c91ad042060b/07248582505-M/07248582505-M.jpg?ts=1728491588241&w=438&f=auto,3.99,"Camiseta boxy de manga corta, con detalle de bolsillo delantero y confeccionada en algodón.  Colección P&amp;B Black Label",3.99,7.99,15.99,3.99,Caqui,https://static.pullandbear.net/assets/public/92e8/1836/046545769dd6/696985a3734d/07248582505-C/07248582505-C.jpg?ts=1716557345880&w=106&f=auto,7248/582,07248582,1030204790,In stock,,
Camisa manga larga con lino,https://www.pullandbear.com/es/camisa-manga-larga-con-lino-l03470585?cS=251&pelement=621942781,https://static.pullandbear.net/assets/public/79f2/bb7b/3bcd4ee7bd93/6936bd965656/03470585251-A1M/03470585251-A1M.jpg?ts=1716999418031&w=438&f=auto,https://static.pullandbear.net/assets/public/ad5a/7f3b/3b7a4aaebdef/be0f0977509e/03470585251-M/03470585251-M.jpg?ts=1721523531448&w=438&f=auto,7.99,Camisa de manga larga con cierre de botones y en mezcla de viscosa y lino.,7.99,9.99,29.99,7.99,Blanco roto,https://static.pullandbear.net/assets/public/2d90/c18e/1899401791ac/0be9c81390d7/03470585251-C/03470585251-C.jpg?ts=1716809183648&w=106&f=auto,3470/585,03470585,1030204765,In stock,,
Camisa manga corta cropped,https://www.pullandbear.com/es/camisa-manga-corta-cropped-l03470905?cS=800&pelement=624983331,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3470/905/800/3470905800_2_1_0.jpg?imwidth=%3Awidth%3A&ts=1711358582451&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3470/905/800/3470905800_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1711358582460&w=438&f=auto,7.99,"Camisa de manga corta cropped efecto desteñido con cuello camisero y cierre de botones, confeccionada en tejido 100% algodón.",7.99,9.99,25.99,7.99,Negro,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3470/905/800/3470905800_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1710511201987&w=106&f=auto,3470/905,03470905,1030204765,In stock,,
Camisa crochet mosaico,https://www.pullandbear.com/es/camisa-crochet-mosaico-l07470527?cS=800&pelement=650687049,https://static.pullandbear.net/assets/public/bc8e/1791/c9af4ec1bfab/82c8cac10e39/07470527800-A1M/07470527800-A1M.jpg?ts=1731928177306&w=438&f=auto,https://static.pullandbear.net/assets/public/3d25/f6f9/b34f4e56b550/e8b8b69cc973/07470527800-M/07470527800-M.jpg?ts=1731928195889&w=438&f=auto,7.99,"Camisa en tejido de crochet con diseño tipo mosaico, de manga corta, con cierre de botones y confeccionada en mezcla de algodón.",7.99,9.99,35.99,7.99,Negro,https://static.pullandbear.net/assets/public/f42c/0c85/2f114c02b68c/d1eae8df03af/07470527800-C/07470527800-C.jpg?ts=1731519212672&w=106&f=auto,7470/527,07470527,1030204765,In stock,,
Camisa manga corta punto calado,https://www.pullandbear.com/es/camisa-manga-corta-punto-calado-l03470901?cS=800&pelement=621935041,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3470/901/800/3470901800_2_1_0.jpg?imwidth=%3Awidth%3A&ts=1716192002643&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3470/901/800/3470901800_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1716192002649&w=438&f=auto,7.99,"Camisa de manga corta en tejido de punto calado, con cierre de botones y confeccionada en mezcla de algodón.",7.99,9.99,29.99,7.99,Negro,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3470/901/800/3470901800_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1715273041986&w=106&f=auto,3470/901,03470901,1030204765,In stock,,
Camisa cuadros,https://www.pullandbear.com/es/camisa-cuadros-l07470504?cS=802&pelement=624983371,https://static.pullandbear.net/assets/public/7ca1/dcc7/d6c64a45a2a5/8e71863b9537/07470504802-A1M/07470504802-A1M.jpg?ts=1724660790261&w=438&f=auto,https://static.pullandbear.net/assets/public/cc98/04ad/ccd24aab837b/f41d9452cbc2/07470504802-M/07470504802-M.jpg?ts=1724660806454&w=438&f=auto,7.99,"Camisa con diseño de cuadros, cuello clásico, manga larga y cierre de botones, confeccionada en tejido 100% algodón.",7.99,9.99,25.99,7.99,Gris,https://static.pullandbear.net/assets/public/9e47/ac52/a26044f9ab69/6c0d386f0289/07470504802-C/07470504802-C.jpg?ts=1724151955858&w=106&f=auto,7470/504,07470504,1030204765,In stock,,
Camisa cuadros,https://www.pullandbear.com/es/camisa-cuadros-l07470504?cS=681&pelement=624983372,https://static.pullandbear.net/assets/public/7505/1e8b/83ee4166bf18/a854824eb22e/07470504681-A1M/07470504681-A1M.jpg?ts=1729238012324&w=438&f=auto,https://static.pullandbear.net/assets/public/e2c6/3471/13534b339e88/49754e4785c0/07470504681-M/07470504681-M.jpg?ts=1729238023095&w=438&f=auto,7.99,"Camisa con diseño de cuadros, cuello clásico, manga larga y cierre de botones, confeccionada en tejido 100% algodón.",7.99,9.99,25.99,7.99,Burgundy,https://static.pullandbear.net/assets/public/522d/ab2e/b52e4e3989da/27389a9a4fdd/07470504681-C/07470504681-C.jpg?ts=1726232184146&w=106&f=auto,7470/504,07470504,1030204765,In stock,,
