product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria,Tag_1,Tag_2,Tag_3
Pantalón jogger soft knit,https://www.pullandbear.com/es/pantalon-jogger-soft-knit-l07676516?cS=807&pelement=621934712,https://static.pullandbear.net/assets/public/1370/eb03/e2a34209bde7/e33870d26e6f/07676516807-M/07676516807-M.jpg?ts=1736441847081&w=438&f=auto,https://static.pullandbear.net/assets/public/9a76/f56f/df284b1f8c61/0da931f2df76/07676516807-A2M/07676516807-A2M.jpg?ts=1736441536462&w=438&f=auto,9.99,Pantalón jogger soft knit con bolsillos y cintura elástica con cordón ajustable.,9.99,12.99,25.99,9.99,Gris antracita,https://static.pullandbear.net/assets/public/de2b/1e0c/a2be413eb353/4101a8e0f334/07676516807-C/07676516807-C.jpg?ts=1736441558789&w=106&f=auto,7676/516,7676516.0,1030204719.0,In stock,Gris,Pantalón,Casual,Joggers,Skinny
Jeans carrot,https://www.pullandbear.com/es/jeans-carrot-l07686523?cS=415&pelement=649322923,https://static.pullandbear.net/assets/public/36f9/8eef/be594e9baada/e9458c52447b/07686523415-M/07686523415-M.jpg?ts=1731313381826&w=438&f=auto,https://static.pullandbear.net/assets/public/414e/a7d8/a4d94ec59a7c/4f61532ec44d/07686523415-A2M/07686523415-A2M.jpg?ts=1731313390813&w=438&f=auto,12.99,"Jeans carrot fit con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en tejido de algodón ligeramente elástico.",12.99,15.99,19.99,12.99,Azul flúor,https://static.pullandbear.net/assets/public/a2f3/1d1f/97a9437fa9ec/659c6f2b4f09/07686523415-C/07686523415-C.jpg?ts=1731313413414&w=106&f=auto,7686/523,7686523.0,1030204729.0,In stock,Azul claro,Pantalón,Joggers,Bohemio,Clásico
Pantalón chándal,https://www.pullandbear.com/es/pantalon-chandal-l08678508?cS=800&pelement=677501214,https://static.pullandbear.net/assets/public/6023/bfcf/ff374529a08d/0feb41739139/0867850880001-M/0867850880001-M.jpg?ts=1723195238522&w=438&f=auto,https://static.pullandbear.net/assets/public/fe37/6738/08b04baa90ee/a0b541a461fa/0867850880001-A2M/0867850880001-A2M.jpg?ts=1723195248614&w=438&f=auto,9.99,"Pantalón jogger chándal standard fit con cintura y bajos con goma elástica, cierre de cordón, detalle de bordados y bolsillo trasero con detalle de etiqueta.",9.99,12.99,19.99,9.99,Negro,https://static.pullandbear.net/2/photos//2024/I/0/2/p/8678/508/800/8678508800_1_1_8.jpg?t=1692263163743&w=106&f=auto,8678/508,8678508.0,1030574254.0,In stock,Negro,Pantalón,Cuello alto,Carrot,Skinny
Jeans carrot tejido premium,https://www.pullandbear.com/es/jeans-carrot-tejido-premium-l07684501?cS=401&pelement=621942898,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7684/501/401/7684501401_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1712570221784&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7684/501/401/7684501401_2_2_0.jpg?imwidth=%3Awidth%3A&ts=1712570221778&w=438&f=auto,12.99,"Jeans carrot en tejido premium, con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón.",12.99,15.99,29.99,12.99,Marino,https://static.pullandbear.net/assets/public/b1ed/3ab4/ffac4858aab6/d0f31b08ccad/07684501401-C/07684501401-C.jpg?ts=1721639843657&w=106&f=auto,7684/501,7684501.0,1030204729.0,In stock,Azul,Pantalón,Casual,Sin mangas,Cuello alto
Pantalón jogger piqué,https://www.pullandbear.com/es/pantalon-jogger-pique-l03678519?cS=809&pelement=627595154,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3678/519/809/3678519809_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1711375741696&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3678/519/809/3678519809_2_2_0.jpg?imwidth=%3Awidth%3A&ts=1711375741690&w=438&f=auto,9.99,"Pantalón jogger chándal en tejido piqué, disponible en varios tonos, con cintura y bajos elásticos y confeccionado en mezcla de algodón.",9.99,12.99,19.99,9.99,Gris medio,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3678/519/809/3678519809_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1710511202062&w=106&f=auto,3678/519,3678519.0,1030204719.0,In stock,Gris,Pantalón,Cuello alto,Skater,Sin mangas
Jeans standard,https://www.pullandbear.com/es/jeans-standard-l07685511?cS=712&pelement=621935289,https://static.pullandbear.net/assets/public/b97e/cf88/2b8940aab08c/cc9bd21ca2d9/07685510712-M/07685510712-M.jpg?ts=1721853468663&w=438&f=auto,https://static.pullandbear.net/assets/public/21ae/d45f/caef4a57af7e/a2dea7cdfc3f/07685510712-A2M/07685510712-A2M.jpg?ts=1721853465725&w=438&f=auto,12.99,"Jeans standard con cintura con trabillas, cierre de botón y cremallera, y diseño de cinco bolsillos.",12.99,15.99,25.99,12.99,Crudo,https://static.pullandbear.net/assets/public/dfc2/3166/5bd443e1a4fe/1d775d0473da/07685510712-C/07685510712-C.jpg?ts=1721853467954&w=106&f=auto,7685/511,7685511.0,1030204719.0,In stock,Blanco,Pantalón,Color oscuro,Minimalista,Elegante
Pantalón jogger soft knit,https://www.pullandbear.com/es/pantalon-jogger-soft-knit-l07676516?cS=800&pelement=621934708,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7676/516/800/7676516800_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1702889744607&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7676/516/800/7676516800_2_2_0.jpg?imwidth=%3Awidth%3A&ts=1702889744606&w=438&f=auto,9.99,Pantalón jogger soft knit con bolsillos y cintura elástica con cordón ajustable.,9.99,12.99,25.99,9.99,Negro,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7676/516/800/7676516800_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1702390439974&w=106&f=auto,7676/516,7676516.0,1030204719.0,In stock,Negro,Pantalón,Elegante,Monocromático,Slim
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678514?cS=807&pelement=627100466,https://static.pullandbear.net/assets/public/f603/90d1/12fe44bfab86/f82821cf8011/07678514807-M/07678514807-M.jpg?ts=1727341910547&w=438&f=auto,https://static.pullandbear.net/assets/public/13e7/289e/d892413396f8/edec7d235e85/07678514807-A2M/07678514807-A2M.jpg?ts=1727342050299&w=438&f=auto,9.99,"Pantalón jogger cargo con bolsillos laterales de tapeta y cintura ajustable con cordón, disponible en varios tonos.",9.99,12.99,29.99,9.99,Gris antracita,https://static.pullandbear.net/assets/public/752b/44af/da8e41099bd0/a210d6e373be/07678514807-C/07678514807-C.jpg?ts=1727175160376&w=106&f=auto,7678/514,7678514.0,1030204719.0,In stock,Gris,Pantalón,Joggers,Casual,Casual
Jeans carrot,https://www.pullandbear.com/es/jeans-carrot-l07684536?cS=833,https://static.pullandbear.net/assets/public/baa1/1b6c/e90341eb939f/c3fe25c91f3c/07684537833-M/07684537833-M.jpg?ts=1726742085817&w=438&f=auto,https://static.pullandbear.net/assets/public/4799/8644/4d83474d98ab/ce64e2b4c005/07684537833-A2M/07684537833-A2M.jpg?ts=1727080244244&w=438&f=auto,12.99,"Jeans carrot fit con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en tejido elástico.",12.99,15.99,35.99,12.99,Azul flúor,https://static.pullandbear.net/assets/public/7393/e035/9cdf44c895a6/d7327d6b911a/07684536415-C/07684536415-C.jpg?ts=1726658079860&w=106&f=auto,7684/536,7684536.0,1030574254.0,In stock,Azul claro,Pantalón,Formal,Skinny,Color oscuro
Pantalón carpenter doble pernera,https://www.pullandbear.com/es/pantalon-carpenter-doble-pernera-l03678520?cS=802&pelement=621942323,https://static.pullandbear.net/2/photos//2024/I/0/2/p/3678/520/802/3678520802_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718024447803&w=438&f=auto,https://static.pullandbear.net/assets/public/60c2/d537/87024e499080/1d0b0c00b1f6/03678520802-A2M/03678520802-A2M.jpg?ts=1718024454726&w=438&f=auto,9.99,"Pantalón carpenter disponible en varios tonos con detalle de doble pernera, con bolsillos, cierre de botón y cremallera y confeccionados en algodón.",9.99,12.99,29.99,9.99,Gris,https://static.pullandbear.net/assets/public/6375/f7da/ae2b4b56bd22/96abbb706792/03678520802-C/03678520802-C.jpg?ts=1717582352821&w=106&f=auto,3678/520,3678520.0,1030204719.0,In stock,Gris,Pantalón,Estampado,Sin mangas,Oversize
